catcher_id,jobma_catcher_status,jobma_catcher_type,subscription_status,subscription_type,referral_credit,is_premium,sub_user,company_size,per_sub_user,number_of_logins,jobma_login_status,days_since_login,wallet_sum,plan_type,is_unlimited,subscription_sum,subscription_count,currency,premium_plan_id,pre_recorded_kit_counts,number_of_jobs_posted,number_of_invitations,number_of_pitcher_applied,pre_rec_interviews_counts,live_interviews_counts,ai_kit_counts,ai_interviews_counts
521,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0
527,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
528,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
530,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
531,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
533,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
546,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
549,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
551,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
