catcher_id,subscription_sum,subscription_count,currency
2257,0.0,1,0
2258,0.0,1,0
2259,0.0,1,0
2260,0.0,1,0
2261,0.0,1,0
2262,199.0,1,0
2263,0.0,1,0
2264,199.0,1,0
2265,100.0,2,0
2266,0.0,1,0
2267,0.0,1,0
2269,0.0,1,0
2270,199.0,1,0
2272,0.0,1,0
2274,422.0,3,0
2276,199.0,1,0
2278,199.0,1,0
2281,199.0,1,0
2282,199.0,1,0
2283,199.0,1,0
2286,99.0,1,0
2287,199.0,1,0
2288,199.0,1,0
2289,199.0,1,0
2290,199.0,1,0
2291,99.0,1,0
2292,5000.0,1,0
2294,199.0,1,0
2295,99.0,1,0
2297,1000.0,1,0
2301,199.0,1,0
2302,0.0,1,0
2303,100.0,1,0
2304,0.0,1,1
2305,199.0,1,0
2306,199.0,1,0
2307,199.0,1,0
2308,199.0,1,0
2309,199.0,1,0
2310,99.0,1,0
2311,209.0,2,0
2313,110.0,2,0
2314,0.0,1,1
2315,0.0,1,1
2316,199.0,1,0
2317,199.0,1,0
2318,118.0,1,1
2319,118.0,1,1
2320,118.0,1,1
2321,118.0,1,1
2322,199.0,1,0
2323,199.0,1,0
2324,199.0,1,0
2325,118.0,1,1
2326,11.0,1,1
2327,11.0,1,1
2330,199.0,1,0
2331,11.0,1,1
2332,11.0,1,1
2334,33056.0,79,0
2335,97702.09999999999,58,1
2336,500.0,1,1
2337,24.0,1,1
2338,11.0,1,1
2339,21.0,1,0
2340,100.0,1,1
2341,100.0,1,0
2342,11.0,1,1
2343,100.0,1,1
2345,100.0,1,0
2346,12.0,1,1
2347,697.0,4,1
2348,1119.0,13,1
2349,1200.0,3,0
2354,1900.0,1,1
2355,224.2,1,0
2356,100.0,1,0
2357,11800.0,1,1
2358,11800.0,1,1
2359,11800.0,1,1
2360,11800.0,1,1
2361,10000.0,1,1
2362,11800.0,1,1
2363,398.0,2,0
2365,11800.0,1,1
2366,11800.0,1,1
2367,600.0,1,0
2368,600.0,1,0
2369,800.0,1,0
2370,80.0,1,1
2371,106.2,1,1
2372,106.2,1,1
2388,100.0,1,0
2391,199.0,1,0
2392,639.0,6,0
2394,11832.0,5,1
2396,1.0,1,0
2397,11800.0,1,1
2400,811.0,3,0
2403,11955.0,8,1
2404,30.0,1,0
2405,10.0,1,0
2407,150.0,1,0
2409,23.6,1,1
2410,150.0,1,1
2411,12342.0,8,1
2412,1245.0,7,0
2413,199.0,1,0
2414,798.0,7,0
2415,11800.0,1,1
2419,11800.0,1,1
2420,11800.0,1,1
2421,11923.0,2,1
2422,11800.0,1,1
2424,1200.0,9,0
2425,592.0,1,1
2426,4720.0,1,1
2427,592.0,1,1
2429,4919.0,2,1
2430,4720.0,1,1
2432,199.0,1,0
2435,260.0,2,0
2436,380.0,3,1
2437,640.0,2,0
2438,10.0,1,0
2439,130.0,1,0
2440,140.0,1,0
2441,500.0,1,0
2442,1500.0,1,0
2443,800.0,1,1
2444,4720.0,1,1
2445,199.0,1,0
2446,992.0,4,1
2450,339.0,2,0
2451,199.0,1,0
2464,100.0,1,1
2468,1.18,1,1
2473,1.0,1,0
2475,100.0,1,1
2476,236.0,1,1
2477,106.2,1,1
2478,236.0,1,0
2479,106.2,1,1
