catcher_id,wallet_sum,subscription_type,plan_type,is_unlimited
2126,180.0,0,0,0
2127,4080.0,0,1,0
2128,90.0,0,1,0
2129,140.0,0,0,0
2130,630.0,0,0,0
2131,1580.0,0,1,0
2132,1580.0,0,1,0
2133,1420.0,0,0,0
2134,630.0,0,0,0
2135,130.0,0,0,0
2136,82.0,0,0,0
2137,85.0,0,0,0
2138,82.0,0,0,0
2139,85.0,0,0,0
2140,85.0,0,0,0
2141,82.0,0,0,0
2142,202.0,0,0,0
2143,201.0,0,0,0
2145,630.0,0,0,0
2153,630.0,0,0,0
2154,290.0,0,0,0
2155,1556.0,0,1,0
2156,640.0,0,0,0
2157,829.0,0,0,0
2168,1628.0,0,0,0
2169,499999.0,0,0,0
2170,1580.0,0,1,0
2171,630.0,0,0,0
2172,1580.0,0,1,0
2173,1580.0,0,1,0
2174,1580.0,0,1,0
2175,630.0,0,0,0
2178,95.0,0,0,0
2181,630.0,0,0,0
2182,5.0,0,0,0
2183,1559.0,0,1,0
2184,630.0,0,0,0
2185,1580.0,0,1,0
2186,628.0,0,0,0
2187,622.0,0,0,0
2188,380.0,0,0,0
2189,117.0,0,0,0
2190,298.0,0,0,0
2191,630.0,0,0,0
2192,5.0,0,0,0
2193,5.0,0,0,0
2194,630.0,0,0,0
2196,508.0,0,0,0
2203,1580.0,0,1,0
2206,630.0,0,0,0
2208,180.0,0,0,0
2209,180.0,0,0,0
2214,1580.0,0,1,0
2215,81.0,0,1,0
2216,94.0,0,1,0
2217,1580.0,0,1,0
2218,3077.59,0,1,0
2219,82.0,0,1,0
2220,90.0,0,1,0
2221,1580.0,0,1,0
2222,81.0,0,1,0
2223,100.0,0,1,0
2224,130.0,0,1,0
2225,90.0,0,1,0
2226,90.0,0,1,0
2227,1598.64,0,1,0
2228,4080.0,0,1,0
2229,130.0,0,0,0
2230,180.0,0,0,0
2231,180.0,0,1,0
2232,180.0,0,0,0
2234,630.0,0,0,0
2235,1580.0,0,1,0
2236,1580.0,0,1,0
2237,1580.0,0,1,0
2238,1580.0,0,1,0
2242,630.0,0,0,0
2243,1580.0,0,1,0
2244,1580.0,0,1,0
2245,1580.0,0,1,0
2246,90.0,0,1,0
2247,629.0,0,0,0
2248,1580.0,0,1,0
2249,1580.0,0,1,0
2250,90.0,0,1,0
2251,625.0,0,0,0
2252,1580.0,0,1,0
2254,1580.0,0,1,0
2255,179.0,0,0,0
2256,180.0,0,0,0
2257,1580.0,0,1,0
2258,1580.0,0,1,0
2259,1580.0,0,1,0
2260,1580.0,0,1,0
2261,1580.0,0,1,0
2262,280.0,0,0,0
2263,1580.0,0,1,0
2264,180.0,0,0,0
2265,1680.0,0,1,0
2266,1575.5,0,1,0
2267,1580.0,0,1,0
2269,1580.0,0,1,0
2270,67644.0,0,0,0
2272,90.0,0,1,0
2274,735.0,1,0,1
2276,587.0,1,0,0
2278,180.0,0,0,0
2281,180.0,0,0,0
2282,80.0,0,0,0
2283,81.0,0,0,0
2286,180.0,0,0,0
2287,80.0,0,0,0
2288,180.0,0,0,0
2289,80.0,0,0,0
2290,180.0,0,0,0
2291,180.0,0,0,0
2292,80.0,0,0,0
2294,180.0,0,0,0
2295,84.0,0,0,0
2297,90.0,0,0,0
2301,180.0,0,0,0
2302,1580.0,0,1,0
