catcher_id,jobma_catcher_company,jobma_functional,jobma_catcher_indus,jobma_catcher_title,jobma_catcher_otype,jobma_catcher_status,jobma_catcher_creation,jobma_catcher_type,is_premium,jobma_verified,subscription_status,sub_user,per_sub_user,live_interview_credit,pre_recorded_credit,ai_live_interview_credit,interview_cost_type,referral_credit,company_size,ai_live_interview
542,Select Source International,Other,Recruitment,0,1,1,2014-04-08,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
543,Select Source International,Other,Recruitment,0,1,1,2014-04-08,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
546,Quant Finance Academy,Accounting & Finance,Accounting & Finance,0,Recruiting Firm,0,2015-12-15,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
549,Demo,Accounting & Finance,Accounting & Finance,0,,0,2015-12-28,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
551,DOS Recruiting & Consulting,Human Resources,"IT Recruiting, Staffing, & Temporary Labor",0,Recruiting Firm,0,2016-01-01,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
552,Demo Select ,Accounting & Finance,Accounting & Finance,0,,1,2016-01-04,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
553,Agentimpress.me,Accounting & Finance,Accounting & Finance,0,Employer,0,2016-01-04,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
554,err,Insurance,Insurance,0,Employer,0,2016-01-08,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
555,Demooo,Accounting & Finance,Accounting & Finance,0,,0,2016-01-11,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
556,Graduate Research Assistant,Education,Education,0,Employer,1,2016-01-12,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
557,Select Source International,Other,Recruitment,0,1,1,2016-01-12,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
558,Select Source International,Other,Recruitment,0,1,1,2014-04-08,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
560,Eutopia Solutions,Accounting & Finance,"IT Recruiting, Staffing, & Temporary Labor",0,Recruiting Firm,0,2016-01-13,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
561,Demo Selectsssss,Accounting & Finance,Accounting & Finance,0,,0,2016-01-18,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
563,Select Source International,Other,Recruitment,0,,1,2016-01-20,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
564,Select Source International,Other,Recruitment,0,,1,2016-01-20,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
565,Ideal Personnel Services,Recruitment,"IT Recruiting, Staffing, & Temporary Labor",0,Recruiting Firm,1,2016-01-23,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
566,AXA LIMITED,Accounting & Finance,Accounting & Finance,0,Employer,0,2016-01-25,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
567,Autusbridge Consulting Limited,Accounting & Finance,Management,0,Employer,0,2016-01-27,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
568,Aditya Birla Nuvo,Consulting,Architecture & Design Services,0,Employer,0,2016-01-29,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
569,saba,Accounting & Finance,Accounting & Finance,0,Employer,0,2016-02-01,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
570,Liperote properties,Real Estate,Real Estate & Property Management,0,Employer,0,2016-02-01,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
